graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
94,32,7,25,21,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,4,1.5714285714285714,1,3,4,3
95,32,7,25,22,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,2.0,1,3,2,5
96,32,5,27,25,0.3125,3,0.010080645161290322,1,-1,2,0.0,8,4,3.0,2,5,0,5
97,32,10,22,17,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,3.2,1,5,2,8
98,32,10,23,19,0.625,2,0.020161290322580645,0,-1,3,0.09375,8,3,2.7,1,5,1,9
99,32,9,23,18,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.0,1,3,4,5
100,32,7,26,23,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,2.2857142857142856,1,4,2,5
101,32,9,24,20,0.5625,2,0.018145161290322582,0,-1,2,0.0,8,3,2.7777777777777777,1,5,2,7
102,32,9,24,17,0.5625,2,0.018145161290322582,0,-1,3,0.09375,8,3,2.2222222222222223,1,5,4,5
103,32,8,24,19,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,2.75,1,5,2,6
104,32,9,23,18,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,1.5555555555555556,1,3,6,3
105,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.0,1,5,3,6
106,32,7,25,20,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,3,2.0,1,3,2,5
107,32,8,24,20,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,2.125,1,5,3,5
108,32,10,22,16,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.1,1,5,5,5
109,32,7,25,22,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,1.8571428571428572,1,3,2,5
110,32,10,23,18,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.9,1,5,4,6
111,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,1.7777777777777777,1,3,3,6
112,32,9,23,18,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.111111111111111,1,5,3,6
113,32,5,27,25,0.3125,2,0.010080645161290322,1,-1,2,0.0,8,3,2.8,1,5,1,4
114,32,10,22,17,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.4,1,5,4,6
115,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.5555555555555554,1,5,4,5
116,32,3,29,28,0.1875,2,0.006048387096774193,1,-1,2,0.0,8,3,3.3333333333333335,1,5,1,2
117,32,9,23,20,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.111111111111111,1,5,3,6
118,32,6,26,24,0.375,3,0.012096774193548387,1,-1,2,0.0,8,4,2.0,1,3,2,4
